car,varient,km,fuel,transmission,registration,price,location
2016 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"51,434 km",CNG,Manual,HR-29,₹2.87 lakh,noida
2017 Renault Kwid, RXT 0.8,"41,654 km",Petrol,Manual,HR-79,₹2.50 lakh,noida
2016 Renault Kwid, RXT 0.8,"60,614 km",Petrol,Manual,DL-8C,₹1.69 lakh,noida
2016 Maruti Ciaz, ZXI,"95,574 km",Petrol,Manual,HR-26,₹4.05 lakh,noida
2015 Hyundai Xcent, S 1.2,"40,327 km",Petrol,Manual,DL-8C,₹2.64 lakh,noida
2019 Hyundai Creta, SX AT 1.6 PETROL,"41,065 km",Petrol,Auto,DL-3C,₹7.84 lakh,noida
2015 Honda Jazz, 1.2L I-VTEC E,"74,833 km",Petrol,Manual,DL-1C,₹2.59 lakh,noida
2014 Maruti Swift Dzire, VXI,"63,567 km",Petrol,Manual,DL-6C,₹2.53 lakh,noida
2019 Tata NEXON, XZA PLUS PETROL,"54,946 km",Petrol,Auto,HR-26,₹5.02 lakh,noida
2020 Maruti Swift, VXI,"94,422 km",Petrol,Manual,DL-8C,₹4.25 lakh,noida
2014 Honda Brio, S MT,"83,675 km",Petrol,Manual,DL-13,₹1.81 lakh,noida
2016 Maruti Ciaz, VXI+,"65,720 km",Petrol,Manual,DL-8C,₹3.64 lakh,noida
2016 Tata Tiago, XZ DIESEL,"77,558 km",Diesel,Manual,HR-08,₹2.90 lakh,noida
2015 Honda City, 1.5L I-VTEC VX CVT,"78,070 km",Petrol,Auto,HR-12,₹4.03 lakh,noida
2015 Maruti Wagon R 1.0, LXI,"47,105 km",Petrol,Manual,DL-12,₹2.21 lakh,noida
2015 Honda City, 1.5L I-VTEC VX CVT,"1,37,152 km",Petrol,Auto,HR-26,₹3.50 lakh,noida
2021 Mahindra XUV700, AX 7 LUXURY D AT 7 STR,"92,783 km",Diesel,Auto,DL-7C,₹14.87 lakh,noida
2015 Maruti Swift Dzire, VXI,"58,310 km",Petrol,Manual,DL-8C,₹3.00 lakh,noida
2019 Ford Ecosport, TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,"59,310 km",Petrol,Manual,DL-12,₹5.31 lakh,noida
2017 Maruti Baleno, DELTA PETROL 1.2,"54,837 km",Petrol,Manual,DL-1C,₹3.76 lakh,noida
2015 Ford Ecosport, TITANIUM 1.5L PETROL AT,"75,297 km",Petrol,Auto,HR-26,₹2.91 lakh,noida
2014 Datsun Go, T,"93,291 km",Petrol,Manual,MH-12,₹1.40 lakh,nagpur
2016 Maruti Swift Dzire, TOUR DIESEL,"1,72,465 km",Diesel,Manual,MH-31,₹2.85 lakh,nagpur
2015 Maruti Wagon R 1.0, VXI,"47,056 km",Petrol,Manual,MH-49,₹2.89 lakh,nagpur
2014 Mahindra XUV500, W6,"90,092 km",Diesel,Manual,MH-02,₹3.71 lakh,nagpur
2018 Maruti Dzire, VXI,"71,000 km",Petrol,Manual,MH-01,₹4.10 lakh,nagpur
2023 Nissan MAGNITE, XE,"39,582 km",Petrol,Manual,MH-49,₹5.12 lakh,nagpur
2015 Maruti Swift, VXI,"55,138 km",Petrol,Manual,MH-40,₹3.46 lakh,nagpur
2017 Honda WR-V, 1.2L I-VTEC S MT,"78,277 km",Petrol,Manual,MH-31,₹4.40 lakh,nagpur
2016 Maruti Wagon R 1.0, VXI,"38,528 km",Petrol,Manual,MH-31,₹3.42 lakh,nagpur
2014 Ford Ecosport, TITANIUM 1.5L DIESEL,"1,37,194 km",Diesel,Manual,MH-43,₹3.30 lakh,nagpur
2015 Renault Lodgy, 110 PS RXZ STEPWAY 7 STR,"1,37,009 km",Diesel,Manual,HP-38,₹2.90 lakh,nagpur
2018 Maruti Baleno, DELTA PETROL 1.2,"1,18,946 km",Petrol,Manual,MH-49,₹4.20 lakh,nagpur
2011 Maruti Swift, VDI,"1,17,800 km",Diesel,Manual,MH-31,₹2.15 lakh,nagpur
2015 Renault Duster, 110 PS RXZ DIESEL,"96,500 km",Diesel,Manual,MH-31,₹3.44 lakh,nagpur
2023 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT,"31,424 km",Petrol,Manual,MH-40,₹6.30 lakh,nagpur
2016 Hyundai Creta, SX PLUS AT 1.6 DIESEL,"96,715 km",Diesel,Auto,MH-31,₹7.38 lakh,nagpur
2021 Skoda KUSHAQ, ACTIVE 1.0L TSI MT,"13,715 km",Petrol,Manual,MH-31,₹8.00 lakh,nagpur
2019 Hyundai VENUE, S 1.2,"59,112 km",Petrol,Manual,KA-05,₹7.00 lakh,nagpur
2013 Maruti Alto K10, VXI,"72,901 km",Petrol,Manual,MH-31,₹1.54 lakh,nagpur
2022 Mahindra XUV300, W6 1.5 Sunroof Diesel,"1,01,009 km",Diesel,Manual,MH-49,₹8.50 lakh,nagpur
2025 Tata Tiago, XM PETROL,"3,647 km",Petrol,Manual,MH-35,₹5.44 lakh,nagpur
2012 Hyundai i20, MAGNA 1.2,"53,431 km",Petrol,Manual,MH-31,₹2.16 lakh,nagpur
2020 Hyundai Creta, SX (O) AT 1.5 DIESEL,"1,08,721 km",Diesel,Auto,MH-31,₹11.00 lakh,nagpur
2018 Tata Tiago, XT PETROL,"67,198 km",Petrol,Manual,MH-49,₹3.24 lakh,nagpur
2013 Honda Brio, S MT,"47,287 km",Petrol,Manual,MH-49,₹2.21 lakh,nagpur
2012 Hyundai Verna, FLUIDIC 1.6 CRDI SX AT,"1,88,719 km",Diesel,Auto,MH-46,₹2.45 lakh,nagpur
2012 Hyundai i10, ERA 1.1,"53,941 km",Petrol,Manual,MH-03,₹1.80 lakh,nagpur
2017 Hyundai Grand i10, MAGNA U2 1.2 CRDI,"73,966 km",Diesel,Manual,MH-26,₹2.80 lakh,nagpur
2015 Maruti Swift, LXI,"54,499 km",Petrol,Manual,CG-04,₹2.90 lakh,nagpur
2014 Maruti Alto K10, VXI,"24,840 km",Petrol,Manual,MH-31,₹1.90 lakh,nagpur
2017 Renault Kwid, RXT 1.0 (O),"82,913 km",Petrol,Manual,MH-40,₹2.20 lakh,nagpur
2024 KIA CARENS, LUXURY PLUS 1.5 DIESEL AT 7 STR,"18,149 km",Diesel,Auto,MH-49,₹18.00 lakh,nagpur
2015 Hyundai Verna, FLUIDIC 4S1.6 VTVT S O AT,"82,100 km",Petrol,Auto,MH-40,₹3.30 lakh,nagpur
2013 Volkswagen Polo, HIGHLINE DIESEL,"1,00,000 km",Diesel,Manual,MH-12,₹2.10 lakh,nagpur
2016 Maruti Celerio, VDI,"1,29,647 km",Diesel,Manual,MH-40,₹2.50 lakh,nagpur
2013 Maruti Alto 800, LXI,"1,27,983 km",Petrol,Manual,MH-40,₹1.72 lakh,nagpur
2011 Mahindra XUV500, W8,"1,99,416 km",Diesel,Manual,MH-44,₹2.24 lakh,nagpur
2024 Renault TRIBER, RXE MT,"10,248 km",Petrol,Manual,MH-31,₹6.12 lakh,nagpur
2014 Volkswagen Polo, COMFORTLINE 1.5L,"1,09,670 km",Diesel,Manual,MH-12,₹2.40 lakh,nagpur
2015 Hyundai Eon, ERA +,"38,766 km",Petrol,Manual,MH-49,₹1.86 lakh,nagpur
2020 Maruti S PRESSO, VXI,"47,313 km",Petrol,Manual,MH-31,₹3.50 lakh,nagpur
2012 Mahindra Verito, 1.5 D2,"1,48,618 km",Diesel,Manual,MH-37,₹0.81 lakh,nagpur
2017 Hyundai Elite i20, SPORTZ 1.2,"1,18,690 km",Petrol,Manual,MH-49,₹4.00 lakh,nagpur
2013 Hyundai i20, MAGNA 1.2,"66,671 km",Petrol,Manual,MH-02,₹2.30 lakh,nagpur
2015 Volkswagen Polo, COMFORTLINE 1.5L,"1,00,800 km",Diesel,Manual,MH-49,₹3.00 lakh,nagpur
2012 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"90,466 km",Diesel,Manual,MH-48,₹3.15 lakh,nagpur
2014 Nissan Terrano, XL (P),"1,02,279 km",Petrol,Manual,MH-12,₹2.35 lakh,nagpur
2015 Hyundai Verna, FLUIDIC 1.6 CRDI S(O) 4S,"1,20,122 km",Diesel,Manual,MH-49,₹4.30 lakh,nagpur
2013 Honda Brio, S MT,"28,192 km",Petrol,Manual,DL-8C,₹1.80 lakh,nagpur
2012 Maruti Alto 800, LXI,"29,897 km",Petrol,Manual,MH-31,₹1.60 lakh,nagpur
2012 Renault Duster, 110 PS RXL DIESEL,"1,03,074 km",Diesel,Manual,MH-21,₹2.00 lakh,nagpur
2019 Maruti Celerio, VXI,"1,58,894 km",Petrol,Manual,MH-34,₹3.20 lakh,nagpur
2015 Hyundai i20 Active, 1.4 SX,"89,769 km",Diesel,Manual,MH-04,₹3.71 lakh,nagpur
2018 Honda City, 1.5L I-VTEC V MT,"60,374 km",Petrol,Manual,MH-36,₹5.60 lakh,nagpur
2017 Ford Figo Aspire, TREND 1.5 DIESEL,"1,38,069 km",Diesel,Manual,MH-22,₹2.80 lakh,nagpur
2012 Ford Figo, TITANIUM 1.4 DIESEL,"1,28,519 km",Diesel,Manual,MH-04,₹1.30 lakh,nagpur
2012 Maruti Alto K10, VXI,"94,612 km",Petrol,Manual,MH-31,₹1.41 lakh,nagpur
2011 Maruti Alto K10, VXI,"66,011 km",Petrol,Manual,MH-40,₹1.00 lakh,nagpur
2018 Tata Hexa, XT 4X2 6 STR,"3,95,607 km",Diesel,Manual,MH-49,₹8.00 lakh,nagpur
2014 Maruti Alto 800, VXI,"40,600 km",Petrol,Manual,MH-40,₹2.15 lakh,nagpur
2014 Maruti Swift Dzire, TOUR DIESEL,"1,84,090 km",Diesel,Manual,MH-02,₹2.30 lakh,nagpur
2012 Maruti Swift Dzire, VXI,"93,845 km",Petrol,Manual,MH-02,₹2.30 lakh,nagpur
2023 Maruti Eeco, 5 STR AC,"3,641 km",Petrol,Manual,MH-49,₹5.50 lakh,nagpur
2012 Hyundai i10, MAGNA 1.2,"22,802 km",Petrol,Manual,MH-05,₹1.78 lakh,nagpur
2013 Maruti Wagon R 1.0, LXI,"74,659 km",Petrol,Manual,MH-48,₹1.75 lakh,nagpur
2012 Hyundai Verna, FLUIDIC 1.4 CRDI EX,"99,999 km",Diesel,Manual,MH-33,₹2.95 lakh,nagpur
2018 Maruti Swift, VDI,"94,950 km",Diesel,Manual,MH-49,₹5.50 lakh,nagpur
2016 Maruti Swift Dzire, TOUR DIESEL,"1,55,702 km",Diesel,Manual,MH-49,₹3.03 lakh,nagpur
2018 Tata NEXON, XZA PLUS DIESEL,"1,60,014 km",Diesel,Auto,MH-10,₹4.50 lakh,nagpur
2018 Maruti Swift, VXI,"57,619 km",Petrol,Manual,MH-31,₹4.80 lakh,nagpur
2023 Maruti FRONX, DELTA PLUS 1.2MT,"28,458 km",Petrol,Manual,MH-31,₹7.20 lakh,nagpur
2024 KIA CARENS, Premium (O) 1.5 Petrol 7 STR,"17,811 km",Petrol,Manual,MH-49,₹11.82 lakh,nagpur
2018 Maruti Baleno, DELTA PETROL 1.2,"93,845 km",Petrol,Manual,MH-47,₹3.95 lakh,nagpur
2014 Maruti Celerio, VXI,"1,34,550 km",Petrol,Manual,MH-31,₹2.30 lakh,nagpur
2020 Mahindra XUV300, W6 1.5 Diesel,"52,753 km",Diesel,Manual,MH-49,₹6.37 lakh,nagpur
2014 Maruti Alto 800, LXI,"48,063 km",Petrol,Manual,MH-40,₹2.00 lakh,nagpur
2015 Nissan Micra Active, XV,"65,167 km",Petrol,Manual,MH-20,₹2.00 lakh,nagpur
2015 Maruti Alto 800, VXI,"66,736 km",Petrol,Manual,MH-36,₹1.65 lakh,nagpur
2014 Tata Zest, XT 90PS DIESEL,"1,62,583 km",Diesel,Manual,MH-31,₹2.98 lakh,nagpur
2011 Volkswagen Vento, TRENDLINE DIESEL 1.6,"1,13,024 km",Diesel,Manual,MH-31,₹1.36 lakh,nagpur
2015 Hyundai Elite i20, SPORTZ 1.4 CRDI,"67,297 km",Diesel,Manual,MH-40,₹3.97 lakh,nagpur
2012 Hyundai i10, MAGNA 1.1,"1,03,774 km",Petrol,Manual,MH-31,₹1.75 lakh,nagpur
2011 Hyundai i10, SPORTZ 1.2,"70,297 km",Petrol,Manual,CG-19,₹1.20 lakh,nagpur
2022 Renault TRIBER, RXT,"30,955 km",Petrol,Manual,MH-49,₹5.75 lakh,nagpur
2016 Honda Jazz, 1.5L I-DTEC V,"2,11,797 km",Diesel,Manual,MH-32,₹3.25 lakh,nagpur
2014 Maruti Ritz, VXI,"71,369 km",Petrol,Manual,MH-14,₹2.63 lakh,nagpur
2014 Maruti Wagon R 1.0, VXI,"2,19,141 km",Petrol,Manual,MH-04,₹2.76 lakh,nagpur
2012 Hyundai i10, ERA 1.1,"76,931 km",Petrol,Manual,MH-31,₹1.44 lakh,nagpur
2020 Maruti S PRESSO, VXI,"46,656 km",Petrol,Manual,MH-20,₹3.24 lakh,nagpur
