car,varient,km,fuel,transmission,registration,price,location
2014 Hyundai Eon, 1.0 MAGNA +,"24,021 km",Petrol,Manual,MH-02,₹1.44 lakh,mumbai
2018 Ford New Figo, TREND 1.2 PETROL,"95,994 km",Petrol,Manual,MH-04,₹3.06 lakh,mumbai
2016 Maruti Swift Dzire, VXI,"28,227 km",Petrol,Manual,MH-02,₹3.41 lakh,mumbai
2014 Maruti Swift Dzire, VXI,"56,891 km",Petrol,Manual,MH-02,₹2.48 lakh,mumbai
2016 Tata Zest, XMS PETROL,"30,872 km",Petrol,Manual,MH-01,₹2.38 lakh,mumbai
2015 Honda Amaze, 1.2L I-VTEC S,"30,260 km",CNG,Manual,MH-47,₹2.40 lakh,mumbai
2024 Tata ALTROZ, Racer R3,"5,402 km",Petrol,Manual,MH-34,₹8.19 lakh,mumbai
2017 Hyundai Elite i20, MAGNA EXECUTIVE 1.2,"38,194 km",Petrol,Manual,MH-01,₹3.83 lakh,mumbai
2015 Skoda Rapid, AMBITION 1.5 TDI,"1,33,941 km",Diesel,Manual,MH-04,₹2.87 lakh,mumbai
2023 Maruti Celerio, ZXI AMT,"45,563 km",Petrol,Auto,MH-46,₹4.07 lakh,mumbai
2018 Honda City, 1.5L I-VTEC VX,"69,608 km",Petrol,Manual,MH-05,₹5.14 lakh,mumbai
2020 Tata Tiago, XZ PETROL,"18,213 km",Petrol,Manual,MH-04,₹4.12 lakh,mumbai
2014 Hyundai i10, SPORTZ 1.1,"30,359 km",Petrol,Manual,MH-01,₹1.77 lakh,mumbai
2013 Maruti Alto 800, LXI CNG,"25,432 km",CNG,Manual,MH-04,₹1.82 lakh,mumbai
2015 Hyundai Eon, ERA +,"36,664 km",Petrol,Manual,MH-12,₹1.64 lakh,mumbai
2015 Ford Ecosport, TREND 1.5L PETROL,"68,455 km",Petrol,Manual,MH-01,₹2.94 lakh,mumbai
2016 Maruti Wagon R 1.0, VXI,"1,28,887 km",Petrol,Manual,MH-12,₹1.91 lakh,mumbai
2022 Tata NEXON, XZA PLUS PETROL DARK EDITION,"32,961 km",Petrol,Auto,MH-03,₹7.20 lakh,mumbai
2019 KIA SELTOS, GTX PLUS 1.4 PETROL,"58,559 km",Petrol,Manual,MH-43,₹8.39 lakh,mumbai
2014 Skoda Rapid, AMBITION 1.6 MPI MT,"39,036 km",Petrol,Manual,MH-48,₹2.84 lakh,mumbai
2019 Ford Ecosport, TITANIUM 1.5L SPORTS(SUNROOF) DIESEL,"76,469 km",Diesel,Manual,MH-02,₹6.52 lakh,mumbai
2012 Volkswagen Vento, HIGHLINE DIESEL 1.6,"93,952 km",Diesel,Manual,MH-04,₹2.16 lakh,mumbai
2024 Maruti Alto K10, LXI,"3,264 km",Petrol,Manual,MH-02,₹3.40 lakh,mumbai
2021 Hyundai New Elantra, 2.0 SX(O) AT PETROL,"52,041 km",Petrol,Auto,MH-47,₹9.29 lakh,mumbai
2014 Hyundai Grand i10, ASTA 1.2 KAPPA VTVT,"61,634 km",Petrol,Manual,MH-04,₹2.26 lakh,mumbai
2014 Ford Classic, 1.4 TITANIUM DIESEL,"89,728 km",Diesel,Manual,MH-43,₹2.00 lakh,mumbai
2016 Honda City, 1.5L I-VTEC VX,"74,536 km",Petrol,Manual,MH-01,₹4.09 lakh,mumbai
2012 Hyundai i10, MAGNA 1.1,"43,211 km",CNG,Manual,MH-43,₹1.45 lakh,mumbai
2022 Volkswagen TAIGUN, HIGHLINE 1.0 TSI AT,"38,709 km",Petrol,Auto,MH-02,₹10.25 lakh,mumbai
2017 Volkswagen Ameo, COMFORTLINE 1.2L,"38,247 km",Petrol,Manual,MH-05,₹3.44 lakh,mumbai
2016 Renault Kwid, RXT 1.0 AMT,"55,410 km",Petrol,Auto,MH-46,₹2.07 lakh,mumbai
2022 Honda City, 1.5L I-DTEC V,"86,355 km",Diesel,Manual,MH-03,₹8.82 lakh,mumbai
2015 Hyundai Creta, SX 1.6 DIESEL,"88,122 km",Diesel,Manual,MH-02,₹5.98 lakh,mumbai
2013 Maruti Wagon R 1.0, VXI,"65,863 km",CNG,Manual,MH-46,₹2.15 lakh,mumbai
2018 Maruti Celerio X, ZXI AMT,"46,076 km",Petrol,Auto,MH-43,₹3.33 lakh,mumbai
2021 Renault Kiger, RXT 1.0 TURBO MT,"97,740 km",Petrol,Manual,MH-20,₹4.07 lakh,mumbai
2021 Maruti S PRESSO, LXI CNG,"90,554 km",CNG,Manual,MH-43,₹3.21 lakh,mumbai
2015 Honda Brio, VX MT,"34,079 km",Petrol,Manual,MH-04,₹2.50 lakh,mumbai
2015 Renault Kwid, RXT 0.8,"34,594 km",Petrol,Manual,MH-02,₹1.77 lakh,mumbai
2015 Maruti Wagon R 1.0, VXI AMT,"23,546 km",Petrol,Auto,MH-03,₹2.60 lakh,mumbai
2019 Tata TIGOR, XZA PETROL,"24,930 km",Petrol,Auto,MH-05,₹3.87 lakh,mumbai
2016 Volkswagen Vento, HIGHLINE 1.5 AT,"55,573 km",Diesel,Auto,MH-43,₹4.49 lakh,mumbai
2020 Tata TIGOR, XZ PETROL,"51,363 km",CNG,Manual,MH-48,₹4.10 lakh,mumbai
2015 Hyundai Creta, SX PLUS 1.6 PETROL,"38,577 km",Petrol,Manual,MH-12,₹5.42 lakh,mumbai
2018 Renault Duster, RXS PETROL,"50,774 km",Petrol,Manual,MH-12,₹4.31 lakh,mumbai
2015 Honda Amaze, 1.2L I-VTEC S,"51,855 km",Petrol,Manual,MH-02,₹2.65 lakh,mumbai
2018 Datsun Redi Go, T(O) 1.0 AMT,"20,918 km",Petrol,Auto,MH-46,₹2.37 lakh,mumbai
2017 Maruti Alto 800, VXI,"63,882 km",Petrol,Manual,MH-48,₹2.03 lakh,mumbai
2014 Hyundai Grand i10, ASTA (O) 1.2 KAPPA VTVT,"87,472 km",Petrol,Manual,MH-02,₹2.77 lakh,mumbai
2021 Maruti Dzire, VXI AMT,"49,580 km",Petrol,Auto,MH-43,₹5.45 lakh,mumbai
2014 Toyota Etios, G,"31,957 km",Petrol,Manual,MH-02,₹2.63 lakh,mumbai
2025 Nissan MAGNITE, Tekna B4D 1.0 Petrol MT,"9,264 km",Petrol,Manual,MH-03,₹7.30 lakh,mumbai
2016 Mahindra Kuv100, K6 5 STR,"64,900 km",Petrol,Manual,MH-46,₹2.35 lakh,mumbai
2012 Hyundai i10, ERA 1.1,"70,865 km",Petrol,Manual,MH-43,₹1.28 lakh,mumbai
2013 Honda City, 1.5L I-VTEC S MT,"1,49,648 km",Petrol,Manual,MH-48,₹2.10 lakh,mumbai
2013 Toyota Etios Liva, G,"1,18,636 km",Petrol,Manual,MH-02,₹1.91 lakh,mumbai
2014 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"79,858 km",Petrol,Manual,MH-03,₹2.64 lakh,mumbai
2022 Tata Tiago, XZ PLUS CNG,"57,985 km",CNG,Manual,MH-01,₹4.76 lakh,mumbai
2014 Maruti Wagon R 1.0, LXI CNG,"40,150 km",CNG,Manual,MH-04,₹2.46 lakh,mumbai
2019 Tata TIGOR, XZA PETROL,"85,687 km",Petrol,Auto,MH-05,₹3.92 lakh,mumbai
2013 Maruti Wagon R 1.0, VXI,"79,191 km",Petrol,Manual,MH-46,₹1.87 lakh,mumbai
2017 Hyundai Creta, SX PLUS 1.6 PETROL,"71,348 km",Petrol,Manual,MH-48,₹5.80 lakh,mumbai
2016 Mercedes Benz GLC CLASS, 220 D 4 MATIC,"56,130 km",Diesel,Auto,MH-01,₹23.75 lakh,mumbai
2014 Maruti Celerio, VXI CNG,"30,248 km",CNG,Manual,MH-05,₹2.80 lakh,mumbai
2016 Maruti Ertiga, VXI AT,"95,635 km",Petrol,Auto,MH-02,₹5.03 lakh,mumbai
2014 Hyundai Eon, MAGNA +,"27,630 km",Petrol,Manual,MH-03,₹1.67 lakh,mumbai
2015 Honda City, 1.5L I-VTEC V MT,"39,968 km",Petrol,Manual,MH-01,₹3.60 lakh,mumbai
2018 Honda WR-V, 1.5L I-DTEC VX MT,"42,086 km",Diesel,Manual,MH-02,₹5.51 lakh,mumbai
2014 Honda Amaze, 1.2L I-VTEC S,"99,082 km",Petrol,Manual,MH-01,₹2.56 lakh,mumbai
2018 Hyundai Creta, SX AT 1.6 PETROL,"47,914 km",Petrol,Auto,MH-01,₹7.27 lakh,mumbai
2014 Hyundai i20, ASTA 1.2,"79,598 km",Petrol,Manual,MH-05,₹2.60 lakh,mumbai
2014 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"65,413 km",Petrol,Manual,MH-04,₹2.09 lakh,mumbai
2014 Hyundai i10, SPORTZ 1.1,"20,612 km",Petrol,Manual,MH-02,₹2.45 lakh,mumbai
2017 Tata Tiago, XZ PETROL,"55,603 km",CNG,Manual,MH-43,₹3.64 lakh,mumbai
2019 Nissan Micra, XV CVT,"1,03,683 km",Petrol,Auto,MH-03,₹2.61 lakh,mumbai
2016 Maruti Wagon R 1.0, VXI,"79,584 km",Petrol,Manual,MH-05,₹2.43 lakh,mumbai
2021 Tata NEXON, XZ PLUS PETROL,"1,22,716 km",Petrol,Manual,MH-03,₹5.19 lakh,mumbai
2013 Ford Ecosport, TREND 1.5L PETROL,"70,238 km",Petrol,Manual,MH-03,₹2.74 lakh,mumbai
2018 Maruti Ciaz, ALPHA  AT 1.4  PETROL,"77,815 km",Petrol,Auto,MH-02,₹4.90 lakh,mumbai
2015 Honda City, 1.5L I-VTEC VX,"94,102 km",Petrol,Manual,MH-01,₹4.09 lakh,mumbai
2014 Hyundai i20, MAGNA 1.2,"18,284 km",Petrol,Manual,MH-43,₹2.40 lakh,mumbai
2015 Maruti Wagon R 1.0, VXI AMT,"1,20,925 km",Petrol,Auto,MH-04,₹2.14 lakh,mumbai
2021 Volkswagen TAIGUN, TOPLINE 1.0 TSI MT,"69,800 km",Petrol,Manual,MH-15,₹8.54 lakh,mumbai
2016 Tata Tiago, XZ PETROL,"66,642 km",Petrol,Manual,MH-48,₹2.88 lakh,mumbai
2013 Maruti Wagon R 1.0, VXI,"10,830 km",Petrol,Manual,MH-05,₹2.16 lakh,mumbai
2018 Maruti Dzire, ZXI PLUS AMT,"60,333 km",Petrol,Auto,MH-01,₹4.71 lakh,mumbai
2013 Hyundai i10, SPORTZ 1.1,"31,062 km",Petrol,Manual,MH-02,₹1.65 lakh,mumbai
2015 Hyundai Grand i10, ASTA AT 1.2 KAPPA VTVT,"90,849 km",Petrol,Auto,MH-47,₹3.42 lakh,mumbai
2017 Hyundai Grand i10, SPORTZ (O) AT 1.2 KAPPA VTVT,"69,552 km",Petrol,Auto,MH-02,₹3.27 lakh,mumbai
2016 Nissan Terrano, XL (P),"1,09,757 km",Petrol,Manual,MH-43,₹3.34 lakh,mumbai
2016 Volkswagen Polo, HIGHLINE 1.0L,"58,567 km",Petrol,Manual,MH-03,₹3.53 lakh,mumbai
2021 Renault Kiger, RXZ MT,"57,005 km",Petrol,Manual,MH-05,₹4.55 lakh,mumbai
2018 Ford New Figo, TITANIUM1.5 DIESEL,"51,350 km",Diesel,Manual,MH-22,₹3.59 lakh,mumbai
2017 Maruti Celerio, VXI,"63,566 km",CNG,Manual,MH-05,₹3.18 lakh,mumbai
2017 Maruti Wagon R 1.0, VXI (O) AMT,"21,420 km",Petrol,Auto,MH-05,₹3.01 lakh,mumbai
2021 Mahindra XUV300, W8 (O) 1.2 PETROL AMT,"46,170 km",Petrol,Auto,MH-04,₹7.53 lakh,mumbai
2021 Renault Kiger, RXZ TURBO MT,"63,106 km",Petrol,Manual,MH-49,₹5.15 lakh,mumbai
2014 Honda City, 1.5L I-VTEC SV CVT,"49,385 km",Petrol,Auto,MH-47,₹3.76 lakh,mumbai
2021 Maruti New Wagon-R, LXI CNG 1.0,"68,180 km",CNG,Manual,MH-05,₹4.29 lakh,mumbai
2018 Skoda Octavia, L&K 1.8 TSI AT,"66,047 km",Petrol,Auto,MH-02,₹9.26 lakh,mumbai
2017 Tata TIGOR, XZA PETROL,"35,578 km",Petrol,Auto,MH-03,₹3.80 lakh,mumbai
2017 Renault Kwid, RXT 1.0 AMT (O),"66,414 km",Petrol,Auto,MH-04,₹2.41 lakh,mumbai
2016 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"25,582 km",Petrol,Manual,MH-01,₹3.07 lakh,mumbai
2019 Hyundai NEW SANTRO, SPORTZ MT,"17,463 km",Petrol,Manual,MH-47,₹3.48 lakh,mumbai
2018 Maruti Dzire, VXI AMT,"44,042 km",Petrol,Auto,MH-02,₹4.34 lakh,mumbai
2017 Maruti Ciaz, ZXI+ AT,"57,158 km",Petrol,Auto,MH-47,₹4.77 lakh,mumbai
2017 BMW X1, sDrive 20d Expedition,"48,094 km",Diesel,Auto,MH-01,₹15.50 lakh,mumbai
2014 Hyundai Xcent, S 1.2,"37,575 km",Petrol,Manual,MH-02,₹2.94 lakh,mumbai
2017 Maruti Alto K10, VXI,"20,596 km",Petrol,Manual,MH-02,₹2.52 lakh,mumbai
2017 Renault Kwid, RXT 1.0 AMT (O),"13,156 km",Petrol,Auto,MH-47,₹2.47 lakh,mumbai
2016 Skoda Superb, STYLE 1.8 TSI MT,"48,557 km",Petrol,Manual,MH-19,₹7.92 lakh,mumbai
2013 Hyundai i20, SPORTZ 1.2,"98,565 km",Petrol,Manual,MH-15,₹2.24 lakh,mumbai
2017 Maruti Celerio, ZXI AMT,"43,644 km",Petrol,Auto,MH-31,₹3.03 lakh,mumbai
2016 Maruti Baleno, ZETA DIESEL 1.3,"1,31,154 km",Diesel,Manual,MH-04,₹4.16 lakh,mumbai
2017 BMW 5 Series, 530 i sports line,"69,490 km",Petrol,Auto,MH-02,₹25.75 lakh,mumbai
2017 Volkswagen Polo, GT TSI AT,"69,761 km",Petrol,Auto,MH-03,₹4.50 lakh,mumbai
2014 Honda Brio, S MT,"13,264 km",Petrol,Manual,MH-01,₹2.43 lakh,mumbai
2014 Honda Amaze, 1.2L I-VTEC SX,"83,878 km",Petrol,Manual,MH-48,₹2.24 lakh,mumbai
2024 MG HECTOR PLUS, SAVVY PRO 1.5 TURBO CVT 7 STR,"14,063 km",Petrol,Auto,MH-43,₹20.25 lakh,mumbai
2013 Maruti Wagon R 1.0, LXI CNG,"44,814 km",CNG,Manual,MH-02,₹2.17 lakh,mumbai
2021 Hyundai NEW SANTRO, SPORTZ AMT,"29,501 km",Petrol,Auto,MH-05,₹3.94 lakh,mumbai
2014 BMW 5 Series, 525D LUXURY PLUS,"58,283 km",Diesel,Auto,MH-01,₹15.30 lakh,mumbai
2018 Hyundai Eon, ERA +,"50,916 km",Petrol,Manual,MH-46,₹2.20 lakh,mumbai
2015 Maruti Swift Dzire, VXI,"55,839 km",Petrol,Manual,MH-02,₹3.21 lakh,mumbai
2013 Maruti Swift Dzire, VXI,"33,200 km",Petrol,Manual,MH-02,₹2.58 lakh,mumbai
2019 Honda City, 1.5L I-VTEC ZX,"1,17,449 km",Petrol,Manual,MH-03,₹5.85 lakh,mumbai
2013 Honda Amaze, 1.2L I-VTEC S,"46,774 km",Petrol,Manual,MH-02,₹2.45 lakh,mumbai
2018 Jeep Compass, SPORT 1.4 PETROL,"48,146 km",Petrol,Manual,MH-47,₹7.15 lakh,mumbai
2014 Maruti Wagon R Stingray, VXI,"55,983 km",Petrol,Manual,MH-02,₹2.53 lakh,mumbai
2012 Maruti Ertiga, ZXI,"1,35,791 km",Petrol,Manual,MH-06,₹3.48 lakh,mumbai
2014 Hyundai Elite i20, ASTA 1.2,"1,15,781 km",Petrol,Manual,MH-04,₹2.38 lakh,mumbai
2017 Honda Jazz, 1.2L I-VTEC V,"24,415 km",Petrol,Manual,MH-01,₹3.31 lakh,mumbai
2018 Skoda Superb, STYLE 1.8 TSI AT,"77,470 km",Petrol,Auto,MH-01,₹10.85 lakh,mumbai
2022 Tata Tiago, XZ PETROL,"21,156 km",Petrol,Manual,MH-04,₹4.69 lakh,mumbai
2012 Hyundai New Elantra, 1.6 S MT DIESEL,"1,29,639 km",Diesel,Manual,MH-04,₹3.15 lakh,mumbai
2016 Maruti Swift Dzire, VXI,"60,016 km",Petrol,Manual,MH-04,₹3.76 lakh,mumbai
2015 Maruti Wagon R 1.0, LXI CNG,"92,101 km",CNG,Manual,MH-03,₹2.44 lakh,mumbai
2020 Tata NEXON, XZA PLUS PETROL,"16,425 km",Petrol,Auto,MH-04,₹6.99 lakh,mumbai
2022 Maruti New Wagon-R, LXI CNG 1.0,"31,288 km",CNG,Manual,MH-01,₹4.77 lakh,mumbai
2015 Skoda Rapid, AMBITION 1.6 MPI MT,"1,43,066 km",Petrol,Manual,MH-46,₹2.69 lakh,mumbai
2022 Maruti Celerio, ZXI PLUS AGS,"41,490 km",Petrol,Auto,MH-03,₹4.53 lakh,mumbai
2022 Mercedes Benz C Class,  C 220d,"49,453 km",Diesel,Auto,MH-01,₹38.75 lakh,mumbai
2018 Maruti Wagon R 1.0, LXI CNG,"97,067 km",CNG,Manual,MH-04,₹3.15 lakh,mumbai
2017 Hyundai Elite i20, ASTA 1.2,"77,187 km",Petrol,Manual,MH-04,₹4.12 lakh,mumbai
2017 Skoda Superb, STYLE 1.8 TSI AT,"59,623 km",Petrol,Auto,MH-01,₹9.65 lakh,mumbai
2018 Mercedes Benz GLE COUPE, 43 AMG 4MATIC,"35,651 km",Petrol,Auto,MH-02,₹55.75 lakh,mumbai
2015 Honda Amaze, 1.5L I-DTEC S,"79,018 km",Diesel,Manual,MH-03,₹3.34 lakh,mumbai
2021 Mercedes Benz E Class, E 200 EXCLUSIVE,"28,107 km",Petrol,Auto,MH-47,₹48.75 lakh,mumbai
2017 Skoda Kodiaq, STYLE 2.0 TDI 4X4 AT,"60,132 km",Diesel,Auto,MH-01,₹16.50 lakh,mumbai
2016 Maruti Wagon R 1.0, VXI AMT,"48,590 km",Petrol,Auto,MH-02,₹2.47 lakh,mumbai
2021 Hyundai GRAND I10 NIOS, SPORTZ AMT 1.2 KAPPA VTVT,"72,467 km",Petrol,Auto,MH-03,₹5.40 lakh,mumbai
2016 Honda City, 1.5L I-VTEC VX (O) MT,"73,026 km",Petrol,Manual,MH-46,₹4.55 lakh,mumbai
2015 Honda City, 1.5L I-VTEC SV CVT,"35,449 km",Petrol,Auto,MH-47,₹4.22 lakh,mumbai
2017 Mercedes Benz C Class, C 200 AVANTGARDE,"53,704 km",Petrol,Auto,MH-02,₹18.75 lakh,mumbai
2019 MG HECTOR, SHARP 1.5 DCT PETROL,"48,955 km",Petrol,Auto,MH-47,₹9.02 lakh,mumbai
2018 Audi Q3, 30 TDI Premium FWD,"71,916 km",Diesel,Auto,MH-26,₹15.25 lakh,mumbai
2019 MG HECTOR, SHARP 2.0 DIESEL,"58,588 km",Diesel,Manual,MH-03,₹9.75 lakh,mumbai
2012 Renault Duster, 85 PS RXL DIESEL,"99,303 km",Diesel,Manual,MH-43,₹2.90 lakh,mumbai
2020 Tata NEXON, XZ PETROL,"32,738 km",Petrol,Manual,MH-03,₹6.26 lakh,mumbai
2018 Hyundai NEW SANTRO, MAGNA CNG,"63,623 km",CNG,Manual,MH-47,₹3.11 lakh,mumbai
2015 Maruti Wagon R 1.0, VXI AMT,"24,958 km",Petrol,Auto,MH-02,₹2.52 lakh,mumbai
2022 Volkswagen TAIGUN, TOPLINE 1.0 TSI AT,"55,400 km",Petrol,Auto,MH-46,₹10.10 lakh,mumbai
2021 Jeep Compass, SPORT 1.4 PETROL,"81,469 km",Petrol,Manual,MH-49,₹9.70 lakh,mumbai
2022 Jeep MERIDIAN, LIMITED (O) 4X2 AT,"39,739 km",Diesel,Auto,MH-02,₹23.49 lakh,mumbai
2020 KIA SELTOS, GTX PLUS DCT 1.4 PETROL,"90,284 km",Petrol,Auto,MH-46,₹10.28 lakh,mumbai
2022 Renault Kiger, RXZ AMT,"65,530 km",Petrol,Auto,MH-47,₹5.60 lakh,mumbai
2021 BMW X7, XDRIVE 30D DPE SIGNATURE,"40,603 km",Diesel,Auto,MH-12,₹77.99 lakh,mumbai
2013 Maruti Ertiga, VXI,"33,718 km",Petrol,Manual,MH-02,₹4.10 lakh,mumbai
2020 MG HECTOR, SHARP 1.5 DCT PETROL,"38,926 km",Petrol,Auto,MH-15,₹11.21 lakh,mumbai
2024 MG HECTOR, SAVVY PRO 1.5 TURBO CVT PETROL,"9,214 km",Petrol,Auto,MH-03,₹16.68 lakh,mumbai
2019 MG HECTOR, SHARP 2.0 DIESEL,"69,923 km",Diesel,Manual,MH-04,₹10.05 lakh,mumbai
2016 Renault Kwid, RXT 1.0,"56,424 km",Petrol,Manual,MH-43,₹2.15 lakh,mumbai
2020 Ford New Figo, TITANIUM BLU 1.2 PETROL,"71,297 km",Petrol,Manual,MH-43,₹3.89 lakh,mumbai
2023 Maruti Ciaz, ZETA 1.5 SHVS MT PETROL,"28,331 km",Petrol,Manual,MH-46,₹7.51 lakh,mumbai
2015 Volkswagen Vento, COMFORTLINE 1.6,"45,326 km",Petrol,Manual,MH-47,₹2.98 lakh,mumbai
2023 Tata PUNCH, ACCOMPLISHED MT,"40,199 km",Petrol,Manual,MH-43,₹5.87 lakh,mumbai
2018 Jeep Compass, SPORT 2.0 DIESEL,"1,00,566 km",Diesel,Manual,MH-04,₹7.43 lakh,mumbai
2016 Maruti Wagon R 1.0, VXI,"9,487 km",Petrol,Manual,MH-48,₹2.95 lakh,mumbai
2021 MG HECTOR PLUS, SHARP 1.5 PETROL TURBO DCT 6-STR,"62,486 km",Petrol,Auto,MH-02,₹11.18 lakh,mumbai
2016 Honda City, 1.5L I-VTEC VX,"41,770 km",Petrol,Manual,MH-03,₹4.77 lakh,mumbai
2012 Maruti Swift Dzire, LDI,"1,45,306 km",Diesel,Manual,MH-01,₹2.15 lakh,mumbai
2012 Hyundai Verna, FLUIDIC 1.6 VTVT,"70,812 km",Petrol,Manual,MH-01,₹1.99 lakh,mumbai
2012 Maruti Swift, LXI,"99,878 km",Petrol,Manual,MH-02,₹1.78 lakh,mumbai
2014 Ford Ecosport, TITANIUM 1.5L PETROL AT,"64,266 km",Petrol,Auto,MH-43,₹2.34 lakh,mumbai
2023 Tata PUNCH, PURE MT,"7,260 km",Petrol,Manual,MH-02,₹5.19 lakh,mumbai
2014 Hyundai Xcent, SX 1.2 (O),"84,155 km",Petrol,Manual,DL-10,₹2.21 lakh,mumbai
2015 Hyundai Xcent, BASE 1.2,"92,486 km",Petrol,Manual,MH-01,₹2.18 lakh,mumbai
2012 Maruti Swift, VDI,"1,66,444 km",Diesel,Manual,MH-01,₹2.36 lakh,mumbai
2017 Maruti Dzire, VXI AMT,"91,074 km",Petrol,Auto,MH-04,₹4.24 lakh,mumbai
2015 Hyundai Xcent, S 1.1 CRDI,"1,40,566 km",Diesel,Manual,MH-01,₹2.15 lakh,mumbai
2018 Tata NEXON, XZA PLUS DIESEL DUAL TONE,"30,713 km",Diesel,Auto,MH-01,₹4.80 lakh,mumbai
2020 Maruti Dzire, VXI,"21,076 km",Petrol,Manual,UP-52,₹4.65 lakh,mumbai
2017 Volkswagen Polo, GT TSI AT,"70,091 km",Petrol,Auto,MH-01,₹4.69 lakh,mumbai
2018 Honda Amaze, 1.2L I-VTEC VX,"22,029 km",Petrol,Manual,MH-03,₹4.29 lakh,mumbai
2020 Renault TRIBER, RXZ,"42,713 km",Petrol,Manual,WB-06,₹3.10 lakh,mumbai
2017 Honda City, 1.5L I-VTEC V MT,"21,960 km",Petrol,Manual,MH-02,₹4.92 lakh,mumbai
2014 Maruti Ertiga, VXI CNG,"91,007 km",Petrol,Manual,MH-04,₹4.29 lakh,mumbai
2018 Maruti Wagon R 1.0, LXI CNG (O),"1,22,623 km",Petrol,Manual,MH-46,₹3.29 lakh,mumbai
2014 Maruti Ertiga, VXI CNG,"98,534 km",Petrol,Manual,MH-43,₹4.57 lakh,mumbai
2016 Maruti Swift Dzire, ZXI,"1,11,642 km",Petrol,Manual,MH-48,₹3.61 lakh,mumbai
2017 Honda City, 1.5L I-VTEC VX CVT,"40,505 km",Petrol,Auto,MH-01,₹5.25 lakh,mumbai
2017 Hyundai Creta, E PLUS 1.6 PETROL,"45,635 km",Petrol,Manual,MH-46,₹5.09 lakh,mumbai
2016 Hyundai Elite i20, MAGNA 1.2,"1,22,571 km",Petrol,Manual,MH-04,₹2.97 lakh,mumbai
2018 Maruti Ertiga, VXI CNG,"2,10,751 km",Petrol,Manual,MH-03,₹6.20 lakh,mumbai
2015 Maruti Ertiga, VXI CNG,"1,71,644 km",Petrol,Manual,MH-05,₹4.59 lakh,mumbai
2016 Honda City, 1.5L I-VTEC VX CVT,"54,685 km",Petrol,Auto,MH-01,₹4.85 lakh,mumbai
2024 Tata PUNCH, Adventure (S) iCNG,"9,255 km",Petrol,Manual,MH-47,₹8.50 lakh,mumbai
2019 Maruti Dzire, ZXI,"40,683 km",Petrol,Manual,MH-46,₹4.64 lakh,mumbai
2022 Tata TIGOR, XZA PLUS PETROL,"14,073 km",Petrol,Auto,MH-02,₹6.16 lakh,mumbai
2017 Maruti Ciaz, DELTA 1.4 MT PETROL,"53,636 km",Petrol,Manual,MH-05,₹4.17 lakh,mumbai
2022 Tata ALTROZ, XZ PLUS DIESEL,"84,283 km",Diesel,Manual,MH-46,₹6.00 lakh,mumbai
2019 Volkswagen Polo, TRENDLINE 1.5L,"76,144 km",Diesel,Manual,MH-46,₹3.23 lakh,mumbai
2017 Maruti Celerio, ZXI AMT (O),"22,089 km",Petrol,Auto,MH-47,₹3.37 lakh,mumbai
2016 Hyundai Elite i20, SPORTZ 1.4 CRDI,"73,060 km",Diesel,Manual,MH-04,₹4.11 lakh,mumbai
2020 Tata Tiago, XT PETROL,"45,687 km",Petrol,Manual,MH-46,₹3.42 lakh,mumbai
2017 Mahindra TUV300, T8,"82,550 km",Diesel,Manual,MH-01,₹3.83 lakh,mumbai
2021 Honda City, 1.5L I-VTEC V MT 5TH GEN,"39,044 km",Petrol,Manual,MH-14,₹7.26 lakh,mumbai
2011 Fiat Linea, EMOTION PK 1.3 MJD,"45,814 km",Diesel,Manual,MH-04,₹1.18 lakh,mumbai
2020 Maruti New Wagon-R, LXI CNG (O) 1.0,"51,934 km",Petrol,Manual,MH-02,₹4.07 lakh,mumbai
2014 Hyundai Grand i10, ASTA AT 1.2 KAPPA VTVT,"42,094 km",Petrol,Auto,MH-03,₹3.10 lakh,mumbai
2020 Hyundai GRAND I10 NIOS, ASTA AMT 1.2 KAPPA VTVT,"27,718 km",Petrol,Auto,MH-47,₹5.37 lakh,mumbai
2011 Volkswagen Vento, HIGHLINE PETROL AT,"1,15,180 km",Petrol,Auto,MH-12,₹1.25 lakh,mumbai
2013 Mercedes Benz B Class, B 180 SPORTS PETROL,"18,069 km",Petrol,Auto,MH-01,₹4.75 lakh,mumbai
2012 Maruti Zen Estilo, VXI,"56,029 km",Petrol,Manual,MH-48,₹1.07 lakh,mumbai
2011 Maruti Swift, VXI,"54,722 km",Petrol,Manual,MH-02,₹1.50 lakh,mumbai
2016 Hyundai Creta, SX PLUS 1.6 PETROL,"1,17,327 km",Petrol,Manual,MH-04,₹5.73 lakh,mumbai
2017 Hyundai Creta, SX PLUS 1.6 PETROL,"33,250 km",Petrol,Manual,MH-04,₹6.69 lakh,mumbai
2017 Hyundai Elite i20, ASTA 1.2,"1,90,182 km",Petrol,Manual,MH-04,₹3.87 lakh,mumbai
2012 Skoda Superb, ELEGANCE 1.8 TSI AT,"54,157 km",Petrol,Auto,MH-01,₹2.42 lakh,mumbai
2011 Maruti Eeco, 7 STR,"68,641 km",Petrol,Manual,MH-02,₹1.86 lakh,mumbai
2023 Mahindra XUV700, AX 7 LUXURY P AT 7 STR,"9,752 km",Petrol,Auto,MH-01,₹19.61 lakh,mumbai
